name,method,correct_ratio,correct_seed,lr,epochs,optimizer,mask_stage,correct_accuracy,wrong_accuracy,forgetting_rate
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep1-optsgd-maskgradient,cnl,20.0,0,5e-8,1,sgd,gradient,0.6296296296296297,0.5028901734104047,0.37037037037037035
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep1-optsgd-maskupdate,cnl,10.0,0,5e-8,1,sgd,update,0.675,0.4956647398843931,0.32499999999999996
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep1-optsgd-maskgradient,cnl,10.0,0,5e-8,1,sgd,gradient,0.675,0.4956647398843931,0.32499999999999996
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep1-optadamw-maskupdate,cnl,100.0,0,5e-8,1,adamw,update,0.5841584158415841,0.5115606936416185,0.4158415841584159
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-8-ep1-optadamw-maskgradient,cnl,100.0,0,5e-8,1,adamw,gradient,0.5,0.569364161849711,0.5
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep1-optadamw-maskupdate,cnl,80.0,0,5e-8,1,adamw,update,0.5851393188854489,0.5130057803468208,0.4148606811145511
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-8-ep1-optadamw-maskgradient,cnl,80.0,0,5e-8,1,adamw,gradient,0.5046439628482973,0.5722543352601156,0.49535603715170273
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep1-optadamw-maskupdate,cnl,60.0,0,5e-8,1,adamw,update,0.5661157024793388,0.5101156069364162,0.43388429752066116
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-8-ep1-optadamw-maskgradient,cnl,60.0,0,5e-8,1,adamw,gradient,0.49586776859504134,0.5679190751445087,0.5041322314049587
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep1-optadamw-maskupdate,cnl,40.0,0,5e-8,1,adamw,update,0.6049382716049383,0.5086705202312138,0.3950617283950617
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-8-ep1-optadamw-maskgradient,cnl,40.0,0,5e-8,1,adamw,gradient,0.5308641975308642,0.5736994219653179,0.4691358024691358
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep1-optadamw-maskupdate,cnl,20.0,0,5e-8,1,adamw,update,0.5679012345679012,0.5028901734104047,0.4320987654320988
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-8-ep1-optadamw-maskgradient,cnl,20.0,0,5e-8,1,adamw,gradient,0.5308641975308642,0.5563583815028902,0.4691358024691358
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep1-optadamw-maskupdate,cnl,10.0,0,5e-8,1,adamw,update,0.575,0.5158959537572254,0.42500000000000004
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-8-ep1-optadamw-maskgradient,cnl,10.0,0,5e-8,1,adamw,gradient,0.5,0.5794797687861272,0.5
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr2e-8-ep3-optsgd-maskupdate,cnl,100.0,0,2e-8,3,sgd,update,0.943069306930693,0.1936416184971098,0.05693069306930698
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr2e-8-ep3-optsgd-maskgradient,cnl,100.0,0,2e-8,3,sgd,gradient,0.943069306930693,0.1936416184971098,0.05693069306930698
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr2e-8-ep3-optsgd-maskupdate,cnl,80.0,0,2e-8,3,sgd,update,0.959752321981424,0.19797687861271676,0.04024767801857598
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr2e-8-ep3-optsgd-maskgradient,cnl,80.0,0,2e-8,3,sgd,gradient,0.959752321981424,0.19797687861271676,0.04024767801857598
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr2e-8-ep3-optsgd-maskupdate,cnl,60.0,0,2e-8,3,sgd,update,0.9421487603305784,0.20086705202312136,0.05785123966942163
